event_source_concept_id,target_concept_id
1237-7,1131
12370-3,673
12374-5,662
12375-2,1662
12379-4,1662
12382-8,662
12386-9,665
12387-7,1670
12389-3,1662
124-8,270
12410-7,1662
12416-4,1678
12417-2,1659
12423-0,1662
12432-1,662
12437-0,1659
12438-8,1659
12439-6,665
1244-3,1131
12442-0,1661
12443-8,665
12444-6,665
12445-3,665
1245-0,1131
12453-7,2009
12454-5,2009
1246-8,1131
12465-1,534
12467-7,991
12469-3,1632
1247-6,1146
12470-1,991
12477-6,659
12478-4,659
1248-4,1146
12484-2,672
12485-9,672
12486-7,672
12487-5,672
12488-3,672
12489-1,672
1249-2,1146
12493-3,1673
125-5,270
12511-2,624
12512-0,2009
1256-7,1131
1257-5,1131
1258-3,1131
12585-6,627
12586-4,627
12587-2,627
12588-0,627
12589-8,627
1259-1,1146
12595-5,1801
12598-9,1630
126-3,277
1260-9,1146
12602-9,662
1261-7,1146
12710-0,1120
12712-6,1113
12713-4,1113
12720-9,991
12733-2,969
12736-5,7308
12769-6,455
1277-3,1131
1278-1,1131
12782-9,614
12788-6,1659
1279-9,1131
128-9,270
12841-3,7320
12842-1,2004
12851-2,1572
12855-3,390
12856-1,390
12857-9,390
12858-7,390
12859-5,390
1286-4,1131
12860-3,1302
12861-1,1302
12862-9,1302
12863-7,1302
12864-5,1302
12865-2,1302
12866-0,1302
12867-8,1302
12868-6,1302
12869-4,1302
1287-2,1131
12870-2,390
12871-0,390
12872-8,390
12873-6,1302
12874-4,1302
12875-1,390
12876-9,390
12877-7,1302
12878-5,1302
12879-3,1302
1288-0,1131
12880-1,1302
12881-9,1302
12882-7,1302
12883-5,1302
12884-3,1302
12885-0,1302
12886-8,1302
12887-6,1302
12888-4,1302
12889-2,1302
1289-8,1146
12890-0,1302
12891-8,1302
12892-6,1302
12893-4,390
12894-2,390
12895-9,390
12896-7,1302
129-7,270
1290-6,1146
1291-4,1146
12949-4,779
12951-0,590
12960-1,1415
13-3,270
130-5,277
13028-6,1414
13029-4,1414
1303-7,1151
13030-2,1414
13031-0,1414
1304-5,1149
13046-8,1104
13047-6,1104
13048-4,1104
1305-2,1146
13050-0,191
13061-7,163
13062-5,163
13068-2,1453
13069-0,1460
13070-8,1460
13071-6,1460
13072-4,1460
13073-2,1460
13074-0,1460
13075-7,1460
13076-5,1460
13077-3,1460
13078-1,1460
13079-9,1460
13080-7,1460
13081-5,1460
13082-3,1460
13083-1,1460
13084-9,1460
1315-1,1131
1316-9,1131
13169-8,1572
1317-7,1131
13170-6,1183
13171-4,1183
13174-8,1616
13175-5,1472
13176-3,967
13177-1,1204
1318-5,1146
1319-3,1146
1320-1,1146
13202-7,1302
13203-5,1302
13204-3,1301
13205-0,1301
13206-8,1302
13207-6,1302
1323-5,1131
1324-3,1131
13240-7,1204
1325-0,1131
1326-8,1146
13265-4,4718
1327-6,1146
1328-4,1146
13286-0,1431
1329-2,1131
13298-5,1180
13299-3,1180
133-9,270
1330-0,1131
13300-9,1180
13301-7,1180
13302-5,1180
13303-3,1180
13304-1,1181
13305-8,1181
13306-6,1181
13307-4,1181
13309-0,1146
1331-8,1131
13310-8,1145
13311-6,1146
13314-0,5205
13315-7,5201
13318-1,5207
13319-9,287
1332-6,1146
13320-7,287
13326-4,5222
13327-2,4245
13328-0,4262
1333-4,1146
13330-6,5202
13331-4,1103
13332-2,1103
13333-0,1103
13334-8,1103
13335-5,1103
13336-3,1103
13337-1,1103
13338-9,1103
13339-7,1103
1334-2,1146
13340-5,1103
13342-1,1103
13343-9,1103
13344-7,1103
13345-4,1103
13346-2,1103
13349-6,1630
13357-9,5231
13358-7,70
13359-5,70
1336-7,1131
13362-9,221
13363-7,1622
1337-5,1131
1338-3,1131
1339-1,1146
134-7,270
1340-9,1146
1341-7,1146
1342-5,1131
1343-3,1131
13438-7,635
13439-5,614
1344-1,1131
13440-3,1620
13441-1,407
13442-9,407
13443-7,407
13444-5,578
13446-0,407
13447-8,407
13448-6,578
13449-4,407
1345-8,1146
13450-2,407
13457-7,2001
13459-3,2001
1346-6,1146
13462-7,1603
13466-8,566
1347-4,1146
13470-0,679
13474-2,2012
13478-3,659
13479-1,659
1348-2,1131
13482-5,463
13483-3,2013
13484-1,991
13485-8,321
13488-2,1127
1349-0,1131
13496-5,1632
13497-3,659
13498-1,659
13499-9,390
135-4,277
1350-8,1131
1351-6,1146
13510-3,1102
13512-9,1102
13513-7,1102
13514-5,1114
13515-2,1114
1352-4,1146
1353-2,1146
13539-2,629
13545-9,1667
13548-3,1662
13549-1,1663
13550-9,1667
13551-7,1667
13552-5,1667
13557-4,1664
13560-8,1664
13565-7,1667
13568-1,1667
13570-7,1663
13571-5,1667
13572-3,1667
13573-1,1663
13574-9,1664
13575-6,668
13577-2,1664
13579-8,1664
13580-6,1667
13583-0,1662
13585-5,1662
13588-9,1664
13592-1,1011
13593-9,1011
13596-2,5209
13599-6,1104
13612-7,455
13618-4,463
13619-2,221
13620-0,221
13622-6,1661
13626-7,1657
13631-7,1183
13634-1,1452
13653-1,219
13654-9,219
13655-6,1630
13656-4,2009
13657-2,2009
13658-0,631
13665-5,991
13666-3,991
13667-1,991
13691-1,991
13694-5,991
13695-2,991
137-0,270
13700-0,991
13706-7,1511
13707-5,991
13708-3,991
13709-1,991
13710-9,991
13711-7,991
13715-8,756
13716-6,756
13722-4,2013
13725-7,991
13733-1,477
13734-9,477
13735-6,477
13736-4,1801
13746-3,991
13747-1,991
13750-5,991
13753-9,991
13757-0,991
13759-6,991
13760-4,468
13763-8,991
13765-3,991
13768-7,991
13769-5,991
13771-1,468
13772-9,991
13782-8,477
13783-6,477
13786-9,991
13788-5,2013
13795-0,629
13796-8,991
13799-2,991
138-8,270
13801-6,2004
13808-1,991
13814-9,991
13815-6,991
13817-2,991
13818-0,991
13820-6,622
13822-2,991
13829-7,2008
13833-9,1204
13837-0,1103
13838-8,1103
13839-6,1103
13840-4,1103
13841-2,1103
13842-0,1103
13843-8,1103
13844-6,1103
13845-3,1103
13846-1,1103
13847-9,1103
13848-7,1103
13850-3,1103
13851-1,1103
13872-7,461
13881-8,7310
13896-6,780
139-6,277
13920-4,390
13921-2,4252
13922-0,4358
13923-8,4358
13926-1,7890
13929-5,1451
13930-3,1452
13942-8,75
13943-6,74
13944-4,1102
13945-1,221
13949-3,3713
13950-1,350
13951-9,1736
13952-7,351
13953-5,4711
13954-3,4711
13955-0,3785
13956-8,4102
13957-6,5207
13960-0,638
13966-7,991
13967-5,358
13968-3,270
13969-1,1526
13972-5,614
13973-3,611
13974-1,611
13975-8,614
13976-6,614
13977-4,614
13978-2,1572
13979-0,1572
13980-8,1572
13981-6,1572
13982-4,1572
13983-2,1572
13984-0,635
13985-7,635
13986-5,635
13987-3,635
13988-1,635
13989-9,635
13990-7,635
13991-5,635
13992-3,635
13993-1,635
13994-9,635
13995-6,635
13996-4,991
13999-8,779
14-1,277
14003-8,999
14008-7,1460
14009-5,1460
14010-3,1460
14012-9,1478
14013-7,1478
14017-8,1103
14018-6,1103
14019-4,1755
14020-2,1755
14021-0,1755
14022-8,1755
14023-6,1755
14024-4,1755
14025-1,1755
14026-9,1755
14027-7,1755
14030-1,1457
14034-3,1452
14035-0,1204
14036-8,1204
14038-4,1205
14040-0,1630
14043-4,476
14055-8,1626
14067-3,1659
14069-9,1662
14070-7,662
14073-1,332
14077-2,1301
14078-0,1301
14082-2,4331
14084-8,4228
14085-5,4228
141-2,270
14103-6,1630
14104-4,1204
14105-1,5209
14108-5,1103
14109-3,1103
14112-7,1103
14113-5,1103
14115-0,7310
14117-6,1385
14118-4,530
14125-9,5207
14126-7,390
14127-5,5204
14129-1,4248
14133-3,1204
14135-8,1122
14136-6,1103
14151-5,999
14179-6,813
14183-8,673
14192-9,667
14196-0,1109
14198-6,3309
142-0,270
14207-5,1323
14210-9,5291
14235-6,1457
14245-5,1460
14246-3,1460
14272-9,1472
14275-2,1183
14276-0,2109
14277-8,1462
14278-6,1462
143-8,277
14306-5,3777
14307-3,3777
14313-1,659
14316-4,667
14317-2,5204
14318-0,5204
14319-8,5204
14325-5,5222
14326-3,1630
14327-1,5210
14328-9,5210
14329-7,5210
14330-5,1630
14332-1,270
14334-7,557
14336-2,534
14338-8,1817
14340-4,1572
14341-2,635
14351-1,1622
14355-2,5204
14356-0,5204
14357-8,5231
14358-6,5210
14359-4,5231
14361-0,5204
14362-8,5209
14363-6,5231
14364-4,5213
14365-1,5209
14366-9,5204
14367-7,5204
14368-5,5204
14369-3,5204
14370-1,5204
14371-9,5204
14377-6,70
14383-4,70
14384-2,219
14388-3,1511
14389-1,1511
14390-9,1511
14391-7,1511
14392-5,1511
14403-0,1521
14426-1,1614
14427-9,1633
14428-7,1633
14430-3,1633
14433-7,1614
14434-5,1633
14435-2,1633
14437-8,1633
14451-9,4204
14452-7,4204
14453-5,4204
14454-3,4204
14455-0,4204
14456-8,4204
14457-6,4204
14458-4,4204
14459-2,4204
14460-0,4204
14462-6,5231
14463-4,5204
14464-2,5204
14465-9,5204
14475-8,5204
14477-4,5204
14478-2,5203
14479-0,5209
14480-8,5210
14481-6,5209
14482-4,5214
14483-2,5230
14484-0,5204
14485-7,5204
14486-5,5203
14487-3,5204
14488-1,4204
14489-9,4204
14490-7,4204
14491-5,4204
14492-3,4204
14493-1,4204
14494-9,4204
14495-6,4204
14496-4,4204
14497-2,4204
14498-0,4204
145-3,270
14507-8,5291
14508-6,5291
14513-6,5291
14514-4,5291
14515-1,5291
14516-9,5291
14517-7,5291
14518-5,5291
14519-3,5291
14520-1,5291
14521-9,5291
14522-7,5291
14523-5,4265
14524-3,4265
14525-0,4265
14526-8,4265
14527-6,4265
14528-4,4265
14529-2,4265
14530-0,4265
14531-8,4265
14532-6,4265
14533-4,4265
14534-2,4262
14535-9,4262
14536-7,4262
14537-5,4262
14538-3,4262
14539-1,4262
14540-9,4262
14541-7,4262
14542-5,4262
14543-3,4262
14544-1,4262
14545-8,4252
14546-6,4252
14547-4,4252
14548-2,4252
14549-0,4252
14550-8,4252
14551-6,4252
14552-4,4252
14553-2,4252
14554-0,4252
14555-7,4252
14556-5,4102
14557-3,4102
14558-1,4102
14559-9,4102
14560-7,4102
14562-3,5205
14566-4,1820
14568-0,461
14569-8,1135
14572-2,455
14573-0,466
14577-1,1151
14578-9,1151
14579-7,1151
14580-5,1151
14586-2,714
14587-0,463
14590-4,7302
14592-0,679
14593-8,1679
14594-6,663
14595-3,1663
14596-1,663
146-1,270
14603-5,1134
14606-8,1141
14623-3,1672
14624-1,672
14626-6,324
14629-0,1601
14630-8,1601
14631-6,1601
14633-2,1137
14635-7,1139
14637-3,624
14643-1,477
14644-9,662
14646-4,996
14647-2,580
1465-4,478
14650-6,2013
14665-4,547
14666-2,2008
14669-6,638
14670-4,638
14673-8,638
14674-6,7420
14675-3,462
14676-1,476
14678-7,462
14679-5,462
14682-9,593
14683-7,627
14684-5,627
14685-2,1374
14688-6,1802
147-9,277
14703-3,478
14704-1,663
14711-6,478
14712-4,477
14715-7,727
14722-3,1456
14724-9,1213
14727-2,668
14731-4,1387
14732-2,1387
14744-7,603
14749-6,552
14752-0,412
14756-1,413
14759-5,413
14763-7,412
14765-2,412
14766-0,412
14767-8,412
14777-7,1501
14780-1,1501
14782-7,468
14783-5,468
14784-3,992
14785-0,991
14789-2,5222
14791-8,663
14792-6,1663
14793-4,663
14796-7,7422
14803-1,1521
14804-9,521
14805-6,521
14807-2,565
14808-0,566
14809-8,566
14831-2,477
14832-0,468
14833-8,468
14836-1,1655
14838-7,1436
14839-5,1126
14841-1,5222
14842-9,5222
14852-8,478
14853-6,477
14854-4,477
14862-7,2013
14864-3,999
14865-0,983
14866-8,983
14871-8,1501
14873-4,999
14879-1,563
14881-7,629
14885-8,455
14890-8,334
14895-7,1572
14896-5,1620
149-5,270
14903-9,1387
14905-4,7301
14906-2,1146
14907-0,1146
14908-8,1146
14910-4,364
14912-0,1104
14913-8,1136
14914-6,701
14918-7,821
14920-3,1207
14922-9,1204
14927-8,996
14928-6,1210
14933-6,532
14934-4,622
14935-1,622
14942-7,638
14945-0,638
14947-6,467
14948-4,467
14949-2,745
14954-2,1414
14955-9,2003
14956-7,1133
14957-5,1133
14961-7,1103
14962-5,1103
14963-3,1103
14964-1,1119
14965-8,1103
14966-6,1103
14967-4,1103
14968-2,1103
14969-0,1103
14972-4,4102
14973-2,4102
14974-0,4102
14978-1,1054
14979-9,1127
14997-1,1803
14998-9,1803
150-3,270
15000-3,1803
15003-7,455
15004-5,455
15005-2,455
15006-0,455
15009-4,466
15010-2,463
15011-0,714
15012-8,714
15013-6,7309
15030-0,455
15035-9,1132
15036-7,468
15037-5,1630
15041-7,638
15046-6,991
15047-4,991
15053-2,455
15054-0,7414
15055-7,7310
15057-3,7415
15058-1,477
15059-9,477
15060-7,814
15061-5,763
15065-6,455
15067-2,473
15069-8,1576
15072-2,764
15076-3,2007
15077-1,2007
15081-3,343
15082-1,559
15083-9,477
15084-7,1138
15086-2,2013
15087-0,785
15091-2,455
15096-1,638
15097-9,467
151-1,277
15112-6,1102
15124-1,693
15125-8,693
15126-6,693
15127-4,693
15128-2,693
15150-6,1104
15151-4,6307
15152-2,1601
15156-3,1823
15158-9,1626
15169-6,316
15177-9,1554
15179-5,1021
15180-3,1104
15182-9,1572
15184-5,1572
15186-0,1572
15190-2,1104
15192-8,1104
15193-6,1103
15194-4,1103
15195-1,1103
15196-9,1103
15198-5,1104
15199-3,1104
15201-7,1104
15202-5,1626
15203-3,1452
15204-1,1452
15205-8,1452
15206-6,1452
15207-4,1626
15209-0,6349
15213-2,1201
15214-0,1201
15215-7,1201
15216-5,1201
15217-3,1202
15218-1,1202
15219-9,1202
15220-7,1202
15221-5,1202
15222-3,1202
15223-1,1202
15224-9,1202
15225-6,1202
15226-4,1202
15227-2,1202
15228-0,1201
15229-8,1201
15230-6,1201
15231-4,1201
15232-2,1201
15233-0,1201
15234-8,1201
15235-5,1201
15236-3,1201
15237-1,1201
15238-9,1201
15239-7,1201
15240-5,1201
15241-3,1202
15242-1,1202
15243-9,1202
15244-7,1202
15245-4,1202
15246-2,1202
15247-0,1202
15248-8,1202
15249-6,1202
15250-4,1202
15251-2,1202
15252-0,1202
15253-8,1202
15254-6,1202
